date,product_id,product_name,category,units_sold,unit_price,discount_pct,gross_revenue,units_returned,return_rate,net_units_sold,net_revenue,cogs_per_unit,cogs_total,gross_profit,gross_margin_pct,marketing_spend,competitor_price,price_vs_competitor,economic_index,consumer_sentiment,csat_score,is_holiday,is_weekend,is_black_friday_week,is_cyber_monday,is_prime_day,day_of_week,month,quarter,season,season_ord,revenue_lag_1d,revenue_lag_7d,revenue_lag_30d,revenue_roll7_mean,revenue_roll30_mean,revenue_roll7_std,units_lag_1d,units_roll7_mean,target_next_day_revenue,is_high_demand_spike,day_name,year
2022-01-18,P001,Laptop,Electronics,78,897.74,1.12,70023.72,6,0.0821,72,64637.28,440.26,31698.72,32938.56,50.96,261.04,963.75,0.9315,99.59,73.86,4.2,0,0,0,0,0,1,1,1,Winter,1,109322.24,65246.72,57304.94,72675.56,74614.7,18037.04,144.0,91.86,77504.88,0,Tuesday,2022
2022-01-19,P001,Laptop,Electronics,100,824.52,7.7,82452.0,6,0.0656,94,77504.88,370.25,34803.5,42701.38,55.1,194.55,1035.53,0.7962,101.96,75.65,4.3,0,0,0,0,0,2,1,1,Winter,1,64637.28,57384.52,57304.94,75549.9,74766.82,16751.53,78.0,95.86,72115.12,0,Wednesday,2022
2022-01-20,P001,Laptop,Electronics,90,819.49,8.55,73754.1,2,0.0266,88,72115.12,388.33,34173.04,37942.08,52.61,209.29,994.49,0.824,103.05,79.01,5.0,0,0,0,0,0,3,1,1,Winter,1,77504.88,64231.2,57304.94,76676.17,74634.23,16116.7,100.0,96.71,59876.82,0,Thursday,2022
2022-01-21,P001,Laptop,Electronics,73,867.78,3.18,63347.94,4,0.0604,69,59876.82,404.05,27879.45,31997.37,53.44,267.57,899.03,0.9652,102.1,80.23,4.8,0,0,0,0,0,4,1,1,Winter,1,72115.12,58799.2,57304.94,76830.12,73931.5,15921.45,90.0,96.86,63631.44,0,Friday,2022
2022-01-22,P001,Laptop,Electronics,73,883.77,2.34,64515.21,1,0.0211,72,63631.44,458.96,33045.12,30586.32,48.07,205.27,799.4,1.1055,100.16,79.17,4.4,0,1,0,0,0,5,1,1,Winter,1,59876.82,75415.16,57304.94,75146.73,73463.31,16699.91,73.0,93.71,78501.15,0,Saturday,2022
2022-01-23,P001,Laptop,Electronics,93,862.65,5.14,80226.45,2,0.0319,91,78501.15,412.15,37505.65,40995.5,52.22,266.73,1023.43,0.8429,100.58,73.15,4.5,0,1,0,0,0,6,1,1,Winter,1,63631.44,78939.32,57304.94,75084.13,73682.35,16684.14,73.0,93.0,56208.6,0,Sunday,2022
2022-01-24,P001,Laptop,Electronics,75,802.98,11.23,60223.5,5,0.0688,70,56208.6,430.51,30135.7,26072.9,46.39,231.31,819.17,0.9802,102.02,74.24,4.4,0,0,0,0,0,0,1,1,Winter,1,78501.15,109322.24,57304.94,67496.47,72954.28,8671.71,93.0,83.14,67835.72,0,Monday,2022
2022-01-25,P001,Laptop,Electronics,84,858.68,4.31,72129.12,5,0.0691,79,67835.72,442.26,34938.54,32897.18,48.5,252.84,1011.93,0.8486,102.78,89.2,4.6,0,0,0,0,0,1,1,1,Winter,1,56208.6,64637.28,57304.94,67953.39,72749.53,8579.73,75.0,84.0,67390.68,0,Tuesday,2022
2022-01-26,P001,Laptop,Electronics,87,802.27,10.68,69797.49,3,0.0401,84,67390.68,416.44,34980.96,32409.72,48.09,213.8,818.39,0.9803,101.36,77.85,3.3,0,0,0,0,0,2,1,1,Winter,1,67835.72,77504.88,57304.94,66508.5,72543.42,7484.9,84.0,82.14,53371.2,0,Wednesday,2022
2022-01-27,P001,Laptop,Electronics,64,889.52,0.37,56929.28,4,0.0636,60,53371.2,352.75,21165.0,32206.2,60.34,254.03,890.4,0.999,102.26,74.34,4.4,0,0,0,0,0,3,1,1,Winter,1,67390.68,72115.12,57304.94,63830.8,71833.34,8437.08,87.0,78.43,59147.88,0,Thursday,2022
2022-01-28,P001,Laptop,Electronics,69,896.18,0.62,61836.42,3,0.0507,66,59147.88,351.88,23224.08,35923.8,60.74,228.66,965.4,0.9283,99.2,78.1,4.5,0,0,0,0,0,4,1,1,Winter,1,53371.2,59876.82,57304.94,63726.67,71380.29,8498.29,64.0,77.86,71641.94,0,Friday,2022
2022-01-29,P001,Laptop,Electronics,83,906.86,0.3,75269.38,4,0.0584,79,71641.94,432.03,34130.37,37511.57,52.36,255.24,981.28,0.9242,100.52,76.51,3.8,0,1,0,0,0,5,1,1,Winter,1,59147.88,63631.44,57304.94,64871.02,71389.31,9007.42,69.0,79.29,68579.58,0,Saturday,2022
2022-01-30,P001,Laptop,Electronics,86,826.26,7.92,71058.36,3,0.0449,83,68579.58,437.48,36310.84,32268.74,47.05,265.94,992.66,0.8324,105.58,80.57,3.9,0,1,0,0,0,6,1,1,Winter,1,71641.94,78501.15,57304.94,63453.66,71295.65,7079.46,83.0,78.29,47323.7,0,Sunday,2022
2022-01-31,P001,Laptop,Electronics,55,892.9,0.17,49109.5,2,0.0544,53,47323.7,401.65,21287.45,26036.25,55.02,184.14,804.19,1.1103,103.13,79.76,4.1,0,0,0,0,0,0,1,1,Winter,1,68579.58,56208.6,111320.24,62184.39,69162.44,9102.38,86.0,75.43,68754.66,0,Monday,2022
2022-02-01,P001,Laptop,Electronics,82,881.47,2.08,72280.54,4,0.0552,78,68754.66,449.91,35092.98,33661.68,48.96,215.87,959.76,0.9184,101.88,77.79,3.5,0,0,0,0,0,1,2,1,Winter,1,47323.7,67835.72,72427.48,62315.66,69040.01,9203.53,55.0,75.14,63495.74,0,Tuesday,2022
2022-02-02,P001,Laptop,Electronics,80,824.62,7.9,65969.6,3,0.0472,77,63495.74,423.05,32574.85,30920.89,48.7,186.35,966.99,0.8528,102.72,76.21,4.4,0,0,0,0,0,2,2,1,Winter,1,68754.66,67390.68,66842.69,61759.24,68928.44,8960.09,82.0,74.14,55423.55,0,Wednesday,2022
2022-02-03,P001,Laptop,Electronics,70,852.67,5.5,59686.9,5,0.0791,65,55423.55,344.93,22420.45,33003.1,59.55,264.73,897.72,0.9498,103.11,75.45,3.9,0,0,0,0,0,3,2,1,Winter,1,63495.74,53371.2,76328.07,62052.44,68231.63,8668.71,80.0,75.0,67220.87,0,Thursday,2022
2022-02-04,P001,Laptop,Electronics,86,809.89,9.77,69650.54,3,0.0397,83,67220.87,364.35,30241.05,36979.82,55.01,190.63,981.78,0.8249,104.11,78.2,4.4,0,0,0,0,0,4,2,1,Winter,1,55423.55,59147.88,70008.55,63205.72,68138.7,8754.48,70.0,77.43,70156.45,0,Friday,2022
2022-02-05,P001,Laptop,Electronics,92,825.37,9.01,75934.04,7,0.0801,85,70156.45,396.05,33664.25,36492.2,52.02,269.15,904.98,0.912,104.75,75.46,4.0,0,1,0,0,0,5,2,1,Winter,1,67220.87,71641.94,62667.75,62993.51,68388.33,8531.05,86.0,78.71,81630.45,0,Saturday,2022
2022-02-06,P001,Laptop,Electronics,103,824.55,9.01,84928.65,4,0.0472,99,81630.45,343.36,33992.64,47637.81,58.36,189.28,1037.54,0.7947,104.86,77.26,4.0,0,1,0,0,0,6,2,1,Winter,1,70156.45,68579.58,65275.87,64857.92,68933.48,11018.71,92.0,81.14,60584.92,0,Sunday,2022
2022-02-07,P001,Laptop,Electronics,79,797.17,10.86,62976.43,3,0.0405,76,60584.92,383.41,29139.16,31445.76,51.9,208.74,1050.45,0.7589,103.12,78.94,5.0,0,0,0,0,0,0,2,1,Winter,1,81630.45,47323.7,105350.0,66752.38,67441.31,8308.22,103.0,84.57,62484.0,0,Monday,2022
2022-02-08,P001,Laptop,Electronics,79,833.12,8.07,65816.48,4,0.0509,75,62484.0,453.85,34038.75,28445.25,45.52,251.24,1007.1,0.8272,103.02,74.41,3.8,0,0,0,0,0,1,2,1,Winter,1,60584.92,68754.66,66911.16,65856.57,67293.74,8393.96,79.0,84.14,65144.92,0,Tuesday,2022
2022-02-09,P001,Laptop,Electronics,77,857.17,4.21,66002.09,1,0.0251,76,65144.92,445.55,33861.8,31283.12,48.02,192.87,999.54,0.8576,101.88,77.79,3.9,0,0,0,0,0,2,2,1,Winter,1,62484.0,63495.74,71957.16,66092.17,67066.66,8339.62,79.0,83.71,58932.0,0,Wednesday,2022
2022-02-10,P001,Laptop,Electronics,77,818.5,8.47,63024.5,5,0.0744,72,58932.0,412.35,29689.2,29242.8,49.62,187.64,1060.5,0.7718,101.01,72.79,4.0,0,0,0,0,0,3,2,1,Winter,1,65144.92,55423.55,65246.72,66593.37,66856.17,7670.14,77.0,84.71,57813.63,0,Thursday,2022
2022-02-11,P001,Laptop,Electronics,72,862.89,5.09,62128.08,5,0.0722,67,57813.63,415.5,27838.5,29975.13,51.85,190.01,926.9,0.9309,103.22,76.1,3.7,0,0,0,0,0,4,2,1,Winter,1,58932.0,67220.87,57384.52,65249.48,66870.48,8337.0,77.0,82.71,72410.52,0,Friday,2022
2022-02-12,P001,Laptop,Electronics,99,795.72,11.55,78776.28,8,0.0879,91,72410.52,407.91,37119.81,35290.71,48.74,205.71,1028.67,0.7735,103.64,76.95,3.8,0,1,0,0,0,5,2,1,Winter,1,57813.63,70156.45,64231.2,65571.49,67143.12,8597.58,72.0,83.71,84547.1,0,Saturday,2022
2022-02-13,P001,Laptop,Electronics,105,837.1,7.55,87895.5,4,0.0394,101,84547.1,365.7,36935.7,47611.4,56.31,220.91,963.5,0.8688,104.68,77.41,3.7,0,1,0,0,0,6,2,1,Winter,1,72410.52,81630.45,58799.2,65988.16,68001.38,9526.09,99.0,84.0,53507.16,0,Sunday,2022
2022-02-14,P001,Laptop,Electronics,67,849.32,5.56,56904.44,4,0.0679,63,53507.16,362.49,22836.87,30670.29,57.32,232.53,814.77,1.0424,103.95,82.44,3.8,0,0,0,0,0,0,2,1,Winter,1,84547.1,60584.92,75415.16,64977.05,67271.12,10519.05,105.0,82.29,63880.19,0,Monday,2022
2022-02-15,P001,Laptop,Electronics,86,808.61,10.93,69540.46,7,0.0891,79,63880.19,360.95,28515.05,35365.14,55.36,265.48,990.16,0.8166,101.52,82.25,3.9,0,0,0,0,0,1,2,1,Winter,1,53507.16,62484.0,78939.32,65176.5,66769.15,10477.05,67.0,83.29,55159.5,0,Tuesday,2022
2022-02-16,P001,Laptop,Electronics,67,835.75,7.13,55995.25,1,0.0239,66,55159.5,450.95,29762.7,25396.8,46.04,267.29,1021.71,0.818,103.39,80.41,3.8,0,0,0,0,0,2,2,1,Winter,1,63880.19,65144.92,109322.24,63750.01,64963.72,11140.82,86.0,81.86,50981.98,0,Wednesday,2022
2022-02-17,P001,Laptop,Electronics,67,822.29,9.75,55093.43,5,0.0868,62,50981.98,418.37,25938.94,25043.04,49.12,269.7,944.17,0.8709,102.94,78.51,4.0,0,0,0,0,0,3,2,1,Winter,1,55159.5,58932.0,64637.28,62614.3,64508.54,12079.51,67.0,80.43,59870.6,0,Thursday,2022
2022-02-18,P001,Laptop,Electronics,72,880.45,2.74,63392.4,4,0.0564,68,59870.6,449.37,30557.16,29313.44,48.96,235.63,890.83,0.9883,104.18,74.34,4.2,0,0,0,0,0,4,2,1,Winter,1,50981.98,57813.63,77504.88,62908.15,63920.74,11967.77,67.0,80.43,61575.5,0,Friday,2022
2022-02-19,P001,Laptop,Electronics,75,843.5,6.62,63262.5,2,0.0295,73,61575.5,343.83,25099.59,36475.91,59.24,258.9,903.14,0.934,104.7,80.64,4.4,0,1,0,0,0,5,2,1,Winter,1,59870.6,72410.52,72115.12,61360.29,63569.42,11210.67,72.0,77.0,72728.04,0,Saturday,2022
2022-02-20,P001,Laptop,Electronics,88,865.81,4.21,76191.28,4,0.0478,84,72728.04,420.38,35311.92,37416.12,51.45,215.3,912.39,0.9489,103.39,78.62,4.1,0,1,0,0,0,6,2,1,Winter,1,61575.5,84547.1,59876.82,59671.85,63997.79,7367.91,75.0,74.57,88884.84,0,Sunday,2022
2022-02-21,P001,Laptop,Electronics,137,673.37,24.84,92251.69,5,0.043,132,88884.84,421.8,55677.6,33207.24,37.36,263.39,927.22,0.7262,103.42,71.42,4.3,1,0,0,0,0,0,2,1,Winter,1,72728.04,53507.16,63631.44,64725.81,64839.57,12664.35,88.0,84.57,51265.69,0,Monday,2022
2022-02-22,P001,Laptop,Electronics,62,868.91,2.88,53872.42,3,0.0532,59,51265.69,426.11,25140.49,26125.2,50.96,191.6,828.71,1.0485,102.25,77.81,4.0,0,0,0,0,0,1,2,1,Winter,1,88884.84,63880.19,78501.15,62923.74,63931.72,13662.85,137.0,81.14,43913.0,0,Tuesday,2022
2022-02-23,P001,Laptop,Electronics,52,878.26,2.07,45669.52,2,0.0455,50,43913.0,405.43,20271.5,23641.5,53.84,183.68,839.83,1.0458,102.73,74.61,4.0,0,0,0,0,0,2,2,1,Winter,1,51265.69,55159.5,56208.6,61317.09,63521.87,15292.14,62.0,79.0,53305.2,0,Wednesday,2022
2022-02-24,P001,Laptop,Electronics,67,820.08,8.28,54945.36,2,0.0347,65,53305.2,388.68,25264.2,28041.0,52.6,251.95,964.12,0.8506,105.28,74.37,4.4,0,0,0,0,0,3,2,1,Winter,1,43913.0,50981.98,67835.72,61648.98,63037.52,15053.8,52.0,79.0,53678.52,0,Thursday,2022
2022-02-25,P001,Laptop,Electronics,66,852.04,5.81,56234.64,3,0.0572,63,53678.52,355.5,22396.5,31282.02,58.28,213.2,919.4,0.9267,105.33,73.2,4.5,0,0,0,0,0,4,2,1,Winter,1,53305.2,59870.6,67390.68,60764.4,62580.44,15354.64,67.0,78.14,56403.6,0,Friday,2022
2022-02-26,P001,Laptop,Electronics,68,854.6,5.37,58112.8,2,0.0429,66,56403.6,357.09,23567.94,32835.66,58.22,201.82,867.11,0.9856,103.83,75.96,3.8,0,1,0,0,0,5,2,1,Winter,1,53678.52,61575.5,53371.2,60025.56,62681.52,15433.34,66.0,77.14,80758.0,0,Saturday,2022
2022-02-27,P001,Laptop,Electronics,107,807.58,10.69,86411.06,7,0.0722,100,80758.0,396.38,39638.0,41120.0,50.92,241.12,1007.93,0.8012,102.84,76.02,4.6,0,1,0,0,0,6,2,1,Winter,1,56403.6,72728.04,59147.88,61172.69,63401.86,16774.97,68.0,79.86,55751.85,0,Sunday,2022
2022-02-28,P001,Laptop,Electronics,65,884.95,1.53,57521.75,2,0.0366,63,55751.85,354.82,22353.66,33398.19,59.91,212.68,969.19,0.9131,101.33,78.79,4.2,0,0,0,0,0,0,2,1,Winter,1,80758.0,88884.84,71641.94,56439.41,62872.19,11496.32,107.0,69.57,37028.46,0,Monday,2022
2022-03-01,P001,Laptop,Electronics,46,881.63,1.83,40554.98,4,0.0888,42,37028.46,356.11,14956.62,22071.84,59.61,194.46,844.85,1.0435,103.01,74.26,4.4,0,0,0,0,0,1,3,1,Spring,2,55751.85,51265.69,68579.58,54405.52,61820.49,13626.28,65.0,67.29,58136.57,0,Tuesday,2022
2022-03-02,P001,Laptop,Electronics,71,867.71,4.77,61607.41,4,0.059,67,58136.57,414.02,27739.34,30397.23,52.29,257.9,1015.64,0.8543,103.21,74.23,4.2,0,0,0,0,0,2,3,1,Spring,2,37028.46,43913.0,47323.7,56437.46,62180.92,12838.61,46.0,70.0,47363.94,0,Wednesday,2022
2022-03-03,P001,Laptop,Electronics,57,877.11,3.36,49995.27,3,0.0627,54,47363.94,378.36,20431.44,26932.5,56.86,196.83,882.07,0.9944,104.76,67.54,4.0,0,0,0,0,0,3,3,1,Spring,2,58136.57,53305.2,68754.66,55588.71,61467.89,13269.35,71.0,68.57,49208.95,0,Thursday,2022
2022-03-04,P001,Laptop,Electronics,63,834.05,6.97,52545.15,4,0.0677,59,49208.95,437.78,25829.02,23379.93,47.51,223.3,938.69,0.8885,104.16,74.47,4.4,0,0,0,0,0,4,3,1,Spring,2,47363.94,53678.52,63495.74,54950.2,60991.67,13482.41,57.0,68.14,59483.8,0,Friday,2022
2022-03-05,P001,Laptop,Electronics,77,837.8,7.15,64510.6,6,0.0789,71,59483.8,359.61,25532.31,33951.49,57.08,217.07,888.98,0.9424,104.67,75.89,4.8,0,1,0,0,0,5,3,1,Spring,2,49208.95,56403.6,55423.55,55390.22,61127.01,13587.61,63.0,69.43,46276.02,0,Saturday,2022
2022-03-06,P001,Laptop,Electronics,61,811.86,9.54,49523.46,4,0.0814,57,46276.02,391.44,22312.08,23963.94,51.78,194.73,839.02,0.9676,105.28,78.65,4.3,0,1,0,0,0,6,3,1,Spring,2,59483.8,80758.0,67220.87,50464.23,60428.85,7931.21,77.0,62.86,43925.76,0,Sunday,2022
2022-03-07,P001,Laptop,Electronics,58,813.44,9.8,47179.52,4,0.083,54,43925.76,390.37,21079.98,22845.78,52.01,213.92,919.9,0.8843,106.08,72.95,4.1,0,0,0,0,0,0,3,1,Spring,2,46276.02,55751.85,70156.45,48774.79,59554.49,7876.53,61.0,61.86,41696.55,0,Monday,2022
2022-03-08,P001,Laptop,Electronics,52,850.95,6.52,44249.4,3,0.0756,49,41696.55,420.12,20585.88,21110.67,50.63,236.18,826.27,1.0299,104.78,77.11,3.9,0,0,0,0,0,1,3,1,Spring,2,43925.76,37028.46,81630.45,49441.66,58223.36,6846.54,58.0,62.71,49408.46,0,Tuesday,2022
2022-03-09,P001,Laptop,Electronics,63,851.87,6.4,53667.81,5,0.0814,58,49408.46,385.1,22335.8,27072.66,54.79,250.97,835.74,1.0193,102.93,72.88,4.3,0,0,0,0,0,2,3,1,Spring,2,41696.55,58136.57,60584.92,48194.78,57850.81,5697.47,52.0,61.57,42806.51,0,Wednesday,2022
2022-03-10,P001,Laptop,Electronics,57,807.67,9.86,46037.19,4,0.0706,53,42806.51,432.72,22934.16,19872.35,46.42,256.18,829.23,0.974,106.54,73.92,3.9,0,0,0,0,0,3,3,1,Spring,2,49408.46,47363.94,62484.0,47543.72,57194.9,6057.27,63.0,61.57,47702.16,0,Thursday,2022
2022-03-11,P001,Laptop,Electronics,59,836.88,7.69,49375.92,2,0.0481,57,47702.16,400.21,22811.97,24890.19,52.18,228.85,862.95,0.9698,103.05,73.64,4.5,0,0,0,0,0,4,3,1,Spring,2,42806.51,49208.95,65144.92,47328.47,56613.47,6014.85,57.0,61.0,65977.53,0,Friday,2022
2022-03-12,P001,Laptop,Electronics,90,794.91,11.37,71541.9,7,0.0846,83,65977.53,431.11,35782.13,30195.4,45.77,232.76,931.83,0.8531,104.36,75.24,4.4,0,1,0,0,0,5,3,1,Spring,2,47702.16,59483.8,58932.0,48256.14,56848.32,8277.3,59.0,62.86,57720.65,0,Saturday,2022
2022-03-13,P001,Laptop,Electronics,66,888.01,1.83,58608.66,1,0.0279,65,57720.65,466.08,30295.2,27425.45,47.51,234.6,909.73,0.9761,104.98,75.32,4.5,0,1,0,0,0,6,3,1,Spring,2,65977.53,46276.02,57813.63,49891.09,56845.22,8925.87,90.0,63.57,50789.34,0,Sunday,2022
2022-03-14,P001,Laptop,Electronics,65,806.18,10.07,52401.7,2,0.0435,63,50789.34,443.15,27918.45,22870.89,45.03,262.88,1030.56,0.7823,108.54,76.51,4.0,0,0,0,0,0,0,3,1,Spring,2,57720.65,43925.76,72410.52,50871.6,56124.52,8529.54,66.0,64.57,53084.07,0,Monday,2022
2022-03-15,P001,Laptop,Electronics,62,899.73,0.06,55783.26,3,0.0517,59,53084.07,370.3,21847.7,31236.37,58.84,215.84,940.51,0.9566,104.41,76.75,3.7,0,0,0,0,0,1,3,1,Spring,2,50789.34,41696.55,84547.1,52498.39,55075.75,7513.4,65.0,66.0,50888.4,0,Tuesday,2022
2022-03-16,P001,Laptop,Electronics,64,848.14,5.43,54280.96,4,0.0643,60,50888.4,343.65,20619.0,30269.4,59.48,195.87,929.98,0.912,105.99,74.31,3.3,0,0,0,0,0,2,3,1,Spring,2,53084.07,49408.46,53507.16,52709.81,54988.46,7432.35,62.0,66.14,42957.72,0,Wednesday,2022
2022-03-17,P001,Laptop,Electronics,55,826.11,7.96,45436.05,3,0.0617,52,42957.72,350.45,18223.4,24734.32,57.58,266.5,835.25,0.9891,103.61,74.21,4.2,0,0,0,0,0,3,3,1,Spring,2,50888.4,42806.51,63880.19,52731.41,54291.04,7398.91,64.0,65.86,49040.4,0,Thursday,2022
2022-03-18,P001,Laptop,Electronics,63,817.34,9.0,51492.42,3,0.0509,60,49040.4,392.49,23549.4,25491.0,51.98,260.82,850.6,0.9609,108.68,71.3,2.9,0,0,0,0,0,4,3,1,Spring,2,42957.72,47702.16,55159.5,52922.59,54087.07,7263.35,55.0,66.43,65281.32,0,Friday,2022
2022-03-19,P001,Laptop,Electronics,81,836.94,6.72,67792.14,3,0.0486,78,65281.32,345.19,26924.82,38356.5,58.76,196.37,1028.62,0.8137,104.63,76.12,3.5,0,1,0,0,0,5,3,1,Spring,2,49040.4,65977.53,50981.98,52823.13,54563.72,7056.62,63.0,65.14,48974.2,0,Saturday,2022
2022-03-20,P001,Laptop,Electronics,56,890.44,1.87,49864.64,1,0.0325,55,48974.2,424.24,23333.2,25641.0,52.36,239.3,802.43,1.1097,103.81,72.27,4.0,0,1,0,0,0,6,3,1,Spring,2,65281.32,57720.65,59870.6,51573.64,54200.5,6815.12,81.0,63.71,55723.52,0,Sunday,2022
2022-03-21,P001,Laptop,Electronics,66,870.68,2.86,57464.88,2,0.0343,64,55723.52,378.93,24251.52,31472.0,56.48,201.89,990.9,0.8787,105.24,75.13,3.6,0,0,0,0,0,0,3,1,Spring,2,48974.2,50789.34,61575.5,52278.52,54005.44,6973.8,56.0,63.86,39126.99,0,Monday,2022
